"name","assignment","length","begin","end","species","species-score","type","type support","subtype","subtype support"
"OM920278.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920279.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920280.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920281.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920282.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920283.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920284.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920285.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920286.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920287.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920288.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920289.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920290.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920291.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920292.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920293.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920294.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920295.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920296.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920297.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920298.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920299.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920300.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920301.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920302.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920303.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920304.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920305.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920306.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920307.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920308.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920309.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920310.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920311.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920312.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920313.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920314.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920315.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920316.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920317.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920318.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920319.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920320.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920321.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920322.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920323.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920324.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920325.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920326.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920327.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920328.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920329.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920330.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920331.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920332.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920333.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920334.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920335.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920336.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920337.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920338.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920339.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920340.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920341.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920342.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920343.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920344.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920345.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920346.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920347.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920348.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920349.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920350.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920351.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920352.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920353.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920354.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920355.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920356.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920357.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920358.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920359.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920360.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920361.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920362.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920363.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920364.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920365.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920366.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920367.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920368.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920369.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920370.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920371.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920375.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920376.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920377.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920378.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920373.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920379.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920380.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920381.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920382.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920383.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920384.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920385.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920386.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920387.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920388.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920389.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920390.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920391.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920392.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920393.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920394.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920395.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920374.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920396.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920397.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920398.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920399.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920372.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920400.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920401.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920402.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920403.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920404.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920405.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920406.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920407.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920408.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920409.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920410.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920411.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920412.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920413.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920414.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"OM920415.1","Unassigned","1485","935","2419","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"AF425610.1","1V","1485","935","2419","dengue virus type 1","","DENV-1 Genotype V","99.0","",""
"AF425625.1","Unassigned","1485","935","2419","dengue virus type 1","","Could not assign","","",""
"AF426111.1","1V","1044","3476","4519","dengue virus type 1","","DENV-1 Genotype V","100.0","",""
"AF426124.1","Unassigned","1044","3476","4519","dengue virus type 1","","Related to but not part of DENV-1 Genotype V","","",""
"MW243050.1","Unassigned","10646","41","10706","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"KC848576.1","1I","1485","935","2419","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"KC848577.1","1I","1485","935","2419","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"KC848578.1","1I","1485","935","2419","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"KC848579.1","1I","1485","935","2419","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"KC848580.1","1I","1485","935","2419","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"MW243062.1","Unassigned","10646","41","10706","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MW243063.1","Unassigned","10646","41","10706","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MW288032.1","Unassigned","10693","4","10716","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"DQ285549.1","1IV","1485","935","2419","dengue virus type 1","","DENV-1 Genotype IV","100.0","",""
"DQ285551.1","1IV","1485","935","2419","dengue virus type 1","","DENV-1 Genotype IV","100.0","",""
"DQ285552.1","1IV","1485","935","2419","dengue virus type 1","","DENV-1 Genotype IV","100.0","",""
"DQ285553.1","1IV","1485","935","2419","dengue virus type 1","","DENV-1 Genotype IV","100.0","",""
"DQ285554.1","1V","1485","935","2419","dengue virus type 1","","DENV-1 Genotype V","100.0","",""
"DQ285557.1","1IV","1485","935","2419","dengue virus type 1","","DENV-1 Genotype IV","100.0","",""
"DQ285558.1","1IV","10689","16","10721","dengue virus type 1","","DENV-1 Genotype IV","100.0","",""
"DQ285559.1","1V","10717","16","10732","dengue virus type 1","","DENV-1 Genotype V","100.0","",""
"DQ285560.1","1IV","10696","9","10721","dengue virus type 1","","DENV-1 Genotype IV","100.0","",""
"DQ285561.1","1IV","10662","14","10691","dengue virus type 1","","DENV-1 Genotype IV","100.0","",""
"DQ285562.1","Unassigned","10721","2","10722","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MW288036.1","Unassigned","10683","4","10706","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"EU448412.1","1IV","1485","935","2419","dengue virus type 1","","DENV-1 Genotype IV","100.0","",""
"KU509258.1","1I","10377","22","10398","dengue virus type 1","","DENV-1 Genotype I","100.0","",""
"KM277610.1","Unassigned","1485","935","2419","dengue virus type 1","","Could not assign","","",""
"KM277611.1","Unassigned","1485","935","2419","dengue virus type 1","","Could not assign","","",""
"KM277612.1","Unassigned","1485","935","2419","dengue virus type 1","","Could not assign","","",""
"JX080292.1","Unassigned","472","1234","1705","dengue virus type 1","","Could not assign","","",""
"JX080293.1","Unassigned","472","1234","1705","dengue virus type 1","","Could not assign","","",""
"MN600714.1","Unassigned","10646","41","10706","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MT076932.1","1II","10735","1","10735","dengue virus type 1","","DENV-1 Genotype II","100.0","",""
"MT076933.1","1II","10735","1","10735","dengue virus type 1","","DENV-1 Genotype II","100.0","",""
"MT076934.1","1II","10735","1","10735","dengue virus type 1","","DENV-1 Genotype II","100.0","",""
"MT076935.1","1II","10735","1","10735","dengue virus type 1","","DENV-1 Genotype II","100.0","",""
"MT076936.1","1II","3402","207","3608","dengue virus type 1","","DENV-1 Genotype II","100.0","",""
"MK940790.1","1III","245","137","381","dengue virus type 1","","DENV-1 Genotype III","82.0","",""
"MK940791.1","1III","245","137","381","dengue virus type 1","","DENV-1 Genotype III","77.0","",""
"MT261951.1","Unassigned","10705","4","10728","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MT261952.1","Unassigned","10659","11","10689","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MT261953.1","Unassigned","10690","8","10717","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MT261954.1","Unassigned","10701","4","10724","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MT261955.1","Unassigned","10577","34","10631","dengue virus type 1","","Related to but not part of DENV-1 Genotype III","","",""
"MK045281.1","","458","","","","","","","",""
"MK045284.1","","555","","","","","","","",""
"KF184975.1","Unassigned","10602","49","10652","dengue virus type 1","","Could not assign","","",""
"MG877557.1","Unassigned","10751","1","10735","dengue virus type 1","","Could not assign","","",""
"MW946564.1","2VI","10176","97","10272","dengue virus type 2","","DENV-2 Genotype VI - Sylvatic","100.0","",""
"MT583832.1","Unassigned","1250","1903","3152","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MT582502.1","Unassigned","1271","79","1349","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MK473386.1","Unassigned","10173","97","10269","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MK473385.1","Unassigned","10173","97","10269","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MK473384.1","Unassigned","10173","97","10269","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MK473383.1","Unassigned","1646","859","2504","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MT012480.1","Unassigned","1025","8969","9993","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"OM317565.1","Unassigned","10630","34","10662","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"OM317566.1","Unassigned","10380","26","10405","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"LC666718.1","Unassigned","10724","1","10723","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"LC666719.1","Unassigned","10724","1","10723","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ857207.1","Unassigned","2407","97","2503","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ857208.1","2II","10173","97","10272","dengue virus type 2","","DENV-2 Genotype II - Cosmopolitan","100.0","",""
"MZ857209.1","Unassigned","10173","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ857210.1","2II","10173","97","10272","dengue virus type 2","","DENV-2 Genotype II - Cosmopolitan","100.0","",""
"MZ857212.1","2II","10173","97","10272","dengue virus type 2","","DENV-2 Genotype II - Cosmopolitan","100.0","",""
"MZ857211.1","2II","10173","97","10272","dengue virus type 2","","DENV-2 Genotype II - Cosmopolitan","100.0","",""
"MZ857213.1","2II","10173","97","10272","dengue virus type 2","","DENV-2 Genotype II - Cosmopolitan","100.0","",""
"MZ857214.1","2II","10173","97","10272","dengue virus type 2","","DENV-2 Genotype II - Cosmopolitan","100.0","",""
"MZ857215.1","2II","10173","97","10272","dengue virus type 2","","DENV-2 Genotype II - Cosmopolitan","100.0","",""
"MZ857218.1","Unassigned","10173","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ857219.1","Unassigned","10173","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ857221.1","Unassigned","10173","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ857220.1","Unassigned","10173","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ857222.1","Unassigned","10173","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MW979760.1","Unassigned","1393","1003","2395","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MW979759.1","Unassigned","1352","1036","2387","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MW979758.1","Unassigned","1315","1035","2349","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"OK384579.1","Unassigned","5055","51","5105","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"OK384856.1","Unassigned","526","81","606","dengue virus type 2","","Could not assign","","",""
"OK605757.1","2VI","10724","1","10723","dengue virus type 2","","DENV-2 Genotype VI - Sylvatic","100.0","",""
"MW332260.1","2V","990","2488","3477","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"MW341537.1","2V","1035","2441","3475","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"MW341538.1","2V","990","2488","3477","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"MW341539.1","2V","965","2521","3485","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"MW341540.1","2V","1036","2441","3476","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"MW341542.1","2V","1042","2441","3482","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"MW341541.1","2V","1045","2441","3485","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"MW341543.1","2V","1037","2441","3477","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"MW341544.1","2V","1045","2441","3485","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"MW341545.1","2V","1045","2441","3485","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"MW341546.1","2V","1045","2441","3485","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"MW341547.1","2V","1045","2441","3485","dengue virus type 2","","DENV-2 Genotype V - Asian I","100.0","",""
"ON885286.1","Unassigned","10570","57","10626","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"ON907580.1","Unassigned","10570","57","10626","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"ON908223.1","Unassigned","10542","11","10552","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"ON231308.1","Unassigned","10176","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"ON231304.1","Unassigned","10176","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"ON231307.1","Unassigned","10176","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"ON231306.1","Unassigned","10176","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"ON231309.1","Unassigned","10176","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"ON231310.1","Unassigned","10176","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"ON231313.1","Unassigned","10176","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"ON231311.1","Unassigned","10176","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"ON231312.1","Unassigned","10176","97","10272","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ130518.1","Unassigned","10597","35","10631","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ130520.1","Unassigned","10597","35","10631","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ130519.1","2II","10598","35","10631","dengue virus type 2","","DENV-2 Genotype II - Cosmopolitan","100.0","",""
"MZ130523.1","2III","10597","35","10630","dengue virus type 2","","DENV-2 Genotype III - Southern Asian-American","100.0","",""
"MZ130521.1","Unassigned","10597","35","10631","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ130522.1","2II","10597","35","10631","dengue virus type 2","","DENV-2 Genotype II - Cosmopolitan","100.0","",""
"MZ130525.1","Unassigned","10597","35","10631","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ130524.1","Unassigned","10597","35","10631","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
"MZ130527.1","Unassigned","10597","35","10631","dengue virus type 2","","Related to but not part of DENV-2 Genotype II - Cosmopolitan","","",""
